starting process map1 with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_092754\200p_8g_r1\map1.json
scene map_1 (MapHost) listening on 127.0.0.1:7301
[process:map1] one V8 started with 1 scene(s)
[map_1] MapHost scene started at 127.0.0.1:7301
map_1 accepted 127.0.0.1:52638 as conn 1
map_1 accepted 127.0.0.1:52696 as conn 2
map_1 accepted 127.0.0.1:52698 as conn 3
map_1 accepted 127.0.0.1:52699 as conn 4
map_1 accepted 127.0.0.1:52697 as conn 5
map_1 accepted 127.0.0.1:52700 as conn 6
map_1 accepted 127.0.0.1:52701 as conn 7
map_1 accepted 127.0.0.1:52702 as conn 8
[metrics:map1] scene=map_1 type=MapHost processed=10000 failed=0 ts_queue=0 ts_max_queue=108 rust_queue=0 rust_max_queue=108 backpressure=0 slow_disconnects=0 update_ms=1.00 handler_ms=1.00 max_handler_ms=32.00 total_handler_ms=22053.00
[metrics:inner_transport] active=8 opened=8 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=map1 cpu_percent=125.72 cpu_time_ms=11828 rss_bytes=108298240 v8_heap_used_bytes=13779576 v8_heap_total_bytes=63188992 v8_gc_count=83 v8_gc_ms=30.050 timestamp_ms=1783934884950
[metrics:map1] scene=map_1 type=MapHost processed=21001 failed=0 ts_queue=0 ts_max_queue=108 rust_queue=103 rust_max_queue=108 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=38.00 total_handler_ms=58254.00
[metrics:inner_transport] active=8 opened=8 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=map1 cpu_percent=130.89 cpu_time_ms=18375 rss_bytes=114130944 v8_heap_used_bytes=29279904 v8_heap_total_bytes=66072576 v8_gc_count=97 v8_gc_ms=38.946 timestamp_ms=1783934889952
[metrics:map1] scene=map_1 type=MapHost processed=32001 failed=0 ts_queue=0 ts_max_queue=133 rust_queue=175 rust_max_queue=175 backpressure=0 slow_disconnects=0 update_ms=1.00 handler_ms=1.00 max_handler_ms=78.00 total_handler_ms=119784.00
[metrics:inner_transport] active=8 opened=8 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=map1 cpu_percent=98.34 cpu_time_ms=23296 rss_bytes=114769920 v8_heap_used_bytes=17560192 v8_heap_total_bytes=67121152 v8_gc_count=112 v8_gc_ms=47.511 timestamp_ms=1783934894956
[metrics:map1] scene=map_1 type=MapHost processed=43038 failed=0 ts_queue=0 ts_max_queue=175 rust_queue=149 rust_max_queue=175 backpressure=0 slow_disconnects=0 update_ms=3.00 handler_ms=3.00 max_handler_ms=78.00 total_handler_ms=162266.00
[metrics:inner_transport] active=8 opened=8 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
